Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array6_18,927927.6666666666,64487.30317942871,903436.0589392614,952419.2743940719,1594670.7666666666,1.1455226851626388,1594670.3316090526,1594671.2017242806,12096.733333333334,1073.6027798440577,11688.990152232527,12504.47651443414,5631.266666666666,291.98515182948756,5520.37373971425,5742.159593619082
array6_19,147938809.23333332,8482123.893323246,144717386.70752993,151160231.7591367,317279487.3666667,1.4487542541400487,317279486.8164449,317279487.9168885,94288.46666666666,58298.510808729545,72147.29798038222,116429.6353529511,12392.133333333333,4736.65900351245,10593.199457470535,14191.067209196131
array6_20,612821903.5,17721624.420497987,606091414.6719651,619552392.3280349,1350332819.9333334,2.096558025802186,1350332819.1370823,1350332820.7295845,206511.73333333334,123832.97955497244,159481.25431737019,253542.2123492965,26145.733333333334,17687.458334336476,19428.22042983854,32863.24623682813
array7_1,81394990.23333333,3592515.0159849077,80030590.35632959,82759390.11033708,179141042.13333333,1.3097921802925667,179141041.63588786,179141042.6307788,29149.766666666666,5930.864443363678,26897.28597248848,31402.247360844853,8138.766666666666,2134.152035873317,7328.2378971843955,8949.295436148937
array7_2,325802.13333333336,43237.16783951306,309381.1062200901,342223.1604465766,128594.03333333334,1.0482790129010924,128593.63520785581,128594.43145881087,11858.633333333333,1443.5771653161537,11310.377724647233,12406.888942019434,5700.5,484.6715554544816,5516.426778953766,5884.573221046234
array7_3,6328958.033333333,767723.444068044,6037384.645887895,6620531.420778772,12577444.8,4.949073987457991,12577442.92039312,12577446.679606881,16450.533333333333,4916.961214227973,14583.122551172533,18317.944115494134,6720.233333333334,756.4419644331979,6432.944534639149,7007.522132027518
array7_4,391902.4666666667,62655.8058393811,368106.4425998376,415698.49073349574,250720.86666666667,0.9910712498212337,250720.49026810317,250721.24306523017,11798.433333333332,1384.1839637691066,11272.734645502142,12324.132021164523,5689.066666666667,455.19306770741673,5516.189068986623,5861.94426434671
array7_5,6195219.666666667,286420.07488015847,6086440.2981187105,6303999.035214623,13158683.233333332,0.9195409482755813,13158682.884101234,13158683.58256543,14373.4,2793.0597033838476,13312.624944417872,15434.175055582127,6007.3,780.526196442716,5710.864260222675,6303.735739777326
array7_6,1730406.4,66118.56743386586,1705295.2550575207,1755517.544942479,3663656.966666667,5.534638400313271,3663654.864668507,3663659.0686648265,11840.266666666666,1048.694360727768,11441.983444348887,12238.549888984446,5628.066666666667,566.1477977426821,5413.049615333819,5843.083717999514
array7_7,5892286.066666666,171034.64665245134,5827328.884910251,5957243.248423082,12577444.933333334,4.802314256920534,12577443.109464275,12577446.757202392,13308.4,1938.4881325404083,12572.182348064527,14044.617651935472,5777.533333333334,630.4165148710988,5538.107690984156,6016.958975682512
array7_8,319983.13333333336,40779.56601512848,304495.4778586204,335470.7888080463,128593.66666666667,0.9428090415820635,128593.30859758842,128594.02473574493,12235.366666666667,1781.0373846597254,11558.947172870181,12911.786160463153,5734.066666666667,566.9571373177655,5518.742236572204,5949.391096761129
array7_9,5804565.2,231127.71914800705,5716785.293674058,5892345.106325942,12123088.0,1.1254628677422756,12123087.572560897,12123088.427439103,13860.533333333333,1905.8267625597268,13136.720130366377,14584.346536300289,6198.533333333334,979.8731800028455,5826.387680405947,6570.67898626072
array7_10,5821310.5,454462.867416305,5648710.224803773,5993910.775196227,12123088.133333333,1.0561986345169905,12123087.732200066,12123088.5344666,13940.066666666668,3415.976472726682,12642.714294164984,15237.419039168351,5741.4,778.9513720380753,5445.562362169203,6037.237637830796
array7_11,330878.63333333336,67384.25775282302,305286.792358179,356470.4743084877,129241.96666666666,0.8749603165604457,129241.63436582923,129242.29896750409,11950.5,817.6086574068713,11639.980726833568,12261.019273166432,5969.8,490.09525604723007,5783.666913820643,6155.933086179358
array7_12,5779031.466666667,291714.03916069743,5668241.505489009,5889821.427844324,12123087.866666667,1.2310790208412923,12123087.399115646,12123088.334217688,14261.1,1816.8178472262978,13571.091458278106,14951.108541721895,5934.666666666667,686.8725419529369,5673.799611807356,6195.533721525978
array7_13,407927.3,122327.39064089449,361468.6280106034,454385.97198939655,203410.2,1.0132456102380443,203409.81517984482,203410.5848201552,11742.7,1098.4734301141136,11325.51120433155,12159.888795668452,5414.3,785.7172158819822,5115.892764974096,5712.707235025904
