Class,Program,Entry,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-store-misses
1636-Coin_Combinations_II,1623325.cpp,entry1.txt,8294046355,20512060998,61544810,35178793,2121329123,479462,99781,2120523577,441483,6702543884,30398324,4212137558,6695994,1627192,7590247,6967011,6677274169,1866399
1636-Coin_Combinations_II,1096416.cpp,entry2.txt,1712572299,4909078085,30254610,15733506,488717372,115989,2084,491104035,72619,1863793445,12847657,783893704,927511,397171,173399,99116,1863698496,39030
1636-Coin_Combinations_II,1096416.cpp,entry6.txt,2858666660,8970349632,31693664,19304052,804225184,123431,2085,799859297,73041,3094722708,13354744,1505781011,1319080,766380,230836,89222,3129489926,95536
1636-Coin_Combinations_II,1096416.cpp,entry5.txt,2868899893,8975007268,31727223,19286916,812797240,113962,2084,809627979,76595,3091120305,13408768,1486056715,1437426,785602,218431,111129,3111250818,96305
1636-Coin_Combinations_II,1096416.cpp,entry3.txt,2859618064,8900101283,31739029,19232193,806307861,134890,2086,809773603,80551,3125660591,13591793,1509178681,1357578,769780,236433,97969,3113287480,93139
1636-Coin_Combinations_II,1096416.cpp,entry4.txt,2758260653,8534162137,52857062,20159248,772900102,117380,2086,772881365,76373,2998080947,24464574,1437181889,1586895,772954,250928,97693,2987463372,89207
1636-Coin_Combinations_II,1096416.cpp,entry1.txt,2860960787,8908527784,31482501,19193162,804410199,131028,2085,807892346,79328,3125522261,13445750,1511305883,1381200,795407,248643,98503,3110694530,94128
1636-Coin_Combinations_II,5964679.cpp,entry2.txt,3394314316,6787295454,30312112,16386948,790140744,130818,2085,779673279,93071,2478402665,13060946,1365749648,1650008,772239,267305,116299,2519333155,19267
1636-Coin_Combinations_II,5964679.cpp,entry6.txt,6111061840,10971831892,34243634,21218334,1214880624,215308,2085,1213639416,161943,4016852762,14195084,2299730845,2911313,904003,329563,112614,4014314999,28647
1636-Coin_Combinations_II,5964679.cpp,entry5.txt,6131504902,10939522854,33159232,20708128,1206443222,209000,2084,1209057225,170883,4015260831,14282431,2309094160,2743737,985443,311745,93579,4025748895,28413
1636-Coin_Combinations_II,5964679.cpp,entry3.txt,6120039826,10958521069,33334299,20861170,1208126173,183970,2086,1208679884,143063,4021002347,14417305,2306294602,2695197,941076,325574,131995,4027568835,31098
1636-Coin_Combinations_II,5964679.cpp,entry4.txt,5907281746,10536811860,56605412,25755529,1165650167,202747,2087,1169805706,167128,3871256529,25125694,2215647773,2862225,1426999,345923,99265,3879826193,29800
1636-Coin_Combinations_II,5964679.cpp,entry1.txt,6130257838,10953923872,33829947,21068758,1210260545,203586,2085,1211323249,167773,4013640177,14309591,2305379086,2837431,893558,300236,100623,4020423565,29262
1636-Coin_Combinations_II,3741569.cpp,entry2.txt,1611318935,4869342562,28249130,14531229,505611105,102351,2084,503002488,57953,2052895742,12523123,790049756,1115361,425807,168822,114221,2080989401,12254
1636-Coin_Combinations_II,3741569.cpp,entry6.txt,2323787500,7323287140,32317911,18701246,607033657,97445,2084,606958503,64606,3111476976,13281372,1104581186,1439318,529219,243780,142820,3096125817,16161
1636-Coin_Combinations_II,3741569.cpp,entry5.txt,2325774729,7352422405,31742824,18078737,603036143,107424,2084,601356178,64829,3103826790,13299316,1108224259,1464538,544323,244929,136451,3118442588,15292
1636-Coin_Combinations_II,3741569.cpp,entry3.txt,2331197915,7286861517,32115965,18110838,608236242,130772,2085,610207209,67915,3113892431,13573102,1101377628,1629492,524886,265221,167022,3087840025,18619
1636-Coin_Combinations_II,3741569.cpp,entry4.txt,2292568330,7098507149,51200939,19226699,595740453,118794,2085,593779743,70524,3001825318,24317540,1075272642,1411400,720560,217466,121037,3025289402,16820
1636-Coin_Combinations_II,3741569.cpp,entry1.txt,2337736361,7374139038,32138569,18460621,611195056,101481,2085,608839957,70318,3094032167,13231386,1091562880,1646716,551072,277052,180141,3107577156,23064
1636-Coin_Combinations_II,2146464.cpp,entry2.txt,1281061506,3488805775,29688906,14078247,204537699,96028,2084,209042504,53086,1482545941,12810882,198599070,996720,363234,175873,116887,1485570252,16661
1636-Coin_Combinations_II,2146464.cpp,entry6.txt,1721148548,5426709716,30848748,17446368,206013031,107642,2082,205515009,63204,2312816933,13739010,306573225,1272867,501761,202083,104675,2315751675,34305
1636-Coin_Combinations_II,2146464.cpp,entry5.txt,1722443978,5442247326,31015367,18000432,206610788,106141,2083,205816237,54706,2311674436,13114645,304473960,1301306,453435,213631,132799,2313100024,34928
1636-Coin_Combinations_II,2146464.cpp,entry3.txt,1720021655,5443387375,30892914,17212300,205824406,93019,2083,204519274,49659,2305800257,13204170,304214157,1195269,474073,194313,130972,2318546734,36059
1636-Coin_Combinations_II,2146464.cpp,entry4.txt,1684164678,5254804518,50180997,17931483,207243907,106845,2083,205779059,66109,2214562395,24524922,292643041,1069719,680900,182259,131374,2247102534,34722
1636-Coin_Combinations_II,2146464.cpp,entry1.txt,1728721054,5407438912,31226259,17452375,205605427,91130,2083,204998283,50126,2312955801,13151289,304851680,1177930,443594,184697,136686,2303534333,35041
1636-Coin_Combinations_II,244450.cpp,entry2.txt,1056980239,2858274258,13541704,4360122,345071848,102665,2069,342577658,69047,1236934744,6219457,379215051,531139,198481,110975,74024,1224554956,11670
1636-Coin_Combinations_II,244450.cpp,entry6.txt,3943010299,4913149698,17018642,9582089,553062844,48036336,2082,554590337,48067450,1909913264,7297920,706639497,1860541,552223,180125,72792,1905840667,23860
1636-Coin_Combinations_II,244450.cpp,entry5.txt,3933004555,4920631888,16942225,9461228,554928845,48147836,2084,556018700,48230336,1915301430,7210115,706704744,1796510,506325,183540,90104,1902392091,21613
1636-Coin_Combinations_II,244450.cpp,entry3.txt,3835556568,4932083037,17018023,9674459,554436491,46112088,2083,551272734,46162716,1899140930,7260322,701281348,1664192,457917,159940,51959,1913301284,18162
1636-Coin_Combinations_II,244450.cpp,entry4.txt,2415360632,4583532139,24715341,7851882,508605189,17944908,2084,520468866,17604972,1871000299,12160526,678340355,1227160,564322,178082,75712,1839178195,17496
1636-Coin_Combinations_II,244450.cpp,entry1.txt,3910158623,4902240626,17438349,9443127,553466460,47550974,2083,556097164,47574869,1921209507,7330956,707190436,1936139,543608,194180,80490,1901642665,21822
1636-Coin_Combinations_II,5524738.cpp,entry2.txt,1948733865,4716730209,29679262,15400363,490209510,102749,2086,491126121,58944,1664106151,12510927,722959806,926449,425921,208823,96577,1676236557,13083
1636-Coin_Combinations_II,5524738.cpp,entry6.txt,3346657935,8500415433,32493742,19536472,807412780,135805,2085,810958972,103665,2829460874,13704550,1412596520,1573720,921166,248233,79497,2805981028,15906
1636-Coin_Combinations_II,5524738.cpp,entry5.txt,3326461138,8489728896,32320289,19771707,803696754,128560,2085,809092439,84041,2825381532,13515483,1414201438,1483084,930045,204409,114416,2805713518,17889
1636-Coin_Combinations_II,5524738.cpp,entry3.txt,3333787248,8543818670,32955600,19805293,809869444,125261,2086,808222120,93965,2814266532,13792829,1404646367,1732429,978515,234692,100489,2810717580,16506
1636-Coin_Combinations_II,5524738.cpp,entry4.txt,3279021047,8163109302,51471765,21132633,775021496,138591,2086,776226319,95911,2696628441,24452854,1341733804,1460355,910397,281799,100451,2702489594,16424
1636-Coin_Combinations_II,5524738.cpp,entry1.txt,3378111494,8517691761,32270869,19748605,801853299,132827,2086,799384643,100532,2794838611,13522101,1412386221,1503417,944137,225011,97316,2821875139,15625
1636-Coin_Combinations_II,7074246.cpp,entry2.txt,1734463392,5791726925,26827581,13027132,517086122,114957,4003,510820551,69727,1827896159,12363243,784302362,847206,396027,175372,176833,1817353642,18436
1636-Coin_Combinations_II,7074246.cpp,entry6.txt,2658363009,8772933595,31748945,18886240,604879255,136488,4032,609368200,87730,2624671491,13269474,1112809080,1295173,576927,218110,115045,2607634093,22692
1636-Coin_Combinations_II,7074246.cpp,entry5.txt,2685255901,8803955974,31665159,18602097,604979952,126903,4033,608004047,80607,2614817151,13197938,1104018482,1242117,616941,230805,130864,2621085428,23226
1636-Coin_Combinations_II,7074246.cpp,entry3.txt,2649092531,8846182554,32006011,18461483,605725012,142397,4032,606487784,117640,2593333259,13583578,1105505182,1422758,588733,229136,124684,2606272614,23573
1636-Coin_Combinations_II,7074246.cpp,entry4.txt,2559657638,8542064578,51351480,19599265,597386344,133444,4033,596014740,82104,2544536460,24047679,1074830799,1233369,699996,224678,141574,2525826167,22789
1636-Coin_Combinations_II,7074246.cpp,entry1.txt,2644057231,8836396609,31546055,18537430,607185343,123046,4032,608050937,90945,2602768206,13301299,1100826808,1423111,608508,237349,138196,2609987608,23104
1636-Coin_Combinations_II,5445938.cpp,entry2.txt,1784049952,5773053043,29001373,14735611,496769530,120543,4002,511221839,73571,1856106876,11345004,804180057,929887,397869,198680,157556,1817610402,18145
1636-Coin_Combinations_II,5445938.cpp,entry6.txt,2716932791,8842838662,31840997,18638064,606158732,124665,4032,605955709,81495,2605250546,13219260,1102991662,1322667,606911,271272,144326,2612434666,22245
1636-Coin_Combinations_II,5445938.cpp,entry5.txt,2762426397,8813032086,31794253,18819481,609518450,142831,4033,608451827,106458,2616291135,13419960,1110809512,1594438,588768,253941,122739,2586147853,22982
