file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
6RY7,gcc,9,-O2,1433,1433,1433.0,2.463777780532837
6RY7,gcc,9,-O3,1433,1433,1433.0,2.3863890171051025
6RY7,gcc,9,-Os,1426,1426,1426.0,2.193016529083252
6RY7,gcc,9,-Ofast,1517,1517,1517.0,2.3323445320129395
6RY7,gcc,10,-O0,1449,1449,1449.0,2.350010395050049
6RY7,gcc,10,-O1,1441,1441,1441.0,2.268948793411255
6RY7,gcc,10,-O2,1433,1433,1433.0,2.293506622314453
6RY7,gcc,10,-O3,1433,1433,1433.0,2.210536241531372
6RY7,gcc,10,-Os,1426,1426,1426.0,2.0366947650909424
6RY7,gcc,10,-Ofast,1517,1517,1517.0,2.0209314823150635
6RY7,gcc,11,-O0,1452,1452,1452.0,1.858619928359985
6RY7,gcc,11,-O1,1441,1441,1441.0,2.1836631298065186
6RY7,gcc,11,-O2,1433,1433,1433.0,2.1931920051574707
6RY7,gcc,11,-O3,1433,1433,1433.0,2.237041711807251
6RY7,gcc,11,-Os,1426,1426,1426.0,2.024955034255981
6RY7,gcc,11,-Ofast,1517,1517,1517.0,2.1149189472198486
6RY7,gcc,12,-O0,1452,1452,1452.0,2.161552667617798
6RY7,gcc,12,-O1,1441,1441,1441.0,2.346360921859741
6RY7,gcc,12,-O2,1433,1433,1433.0,2.052044153213501
6RY7,gcc,12,-O3,1433,1433,1433.0,2.111220121383667
6RY7,gcc,12,-Os,1426,1426,1426.0,2.025202512741089
6RY7,gcc,12,-Ofast,1517,1517,1517.0,2.0335917472839355
6WJ4,gcc,9,-O0,2080,2080,2080.0,1.7071354389190674
6WJ4,gcc,9,-O1,1405,1405,1405.0,1.7278931140899658
6WJ4,gcc,9,-O2,1420,1420,1420.0,1.8553779125213623
6WJ4,gcc,9,-O3,1420,1420,1420.0,2.1845040321350098
6WJ4,gcc,9,-Os,1397,1397,1397.0,1.8467743396759035
6WJ4,gcc,9,-Ofast,1508,1508,1508.0,1.7073228359222412
6WJ4,gcc,10,-O0,2080,2080,2080.0,1.9292535781860352
6WJ4,gcc,10,-O1,1405,1405,1405.0,1.8276093006134035
6WJ4,gcc,10,-O2,1420,1420,1420.0,1.985601663589477
6WJ4,gcc,10,-O3,1420,1420,1420.0,1.887922286987305
6WJ4,gcc,10,-Os,1397,1397,1397.0,1.8718419075012207
6WJ4,gcc,10,-Ofast,1508,1508,1508.0,1.9272704124450684
6WJ4,gcc,11,-O0,2083,2083,2083.0,1.71830415725708
6WJ4,gcc,11,-O1,1405,1405,1405.0,1.9187283515930176
6WJ4,gcc,11,-O2,1420,1420,1420.0,1.972278118133545
6WJ4,gcc,11,-O3,1420,1420,1420.0,2.252584457397461
6WJ4,gcc,11,-Os,1397,1397,1397.0,1.7391822338104248
6WJ4,gcc,11,-Ofast,1508,1508,1508.0,1.6839120388031006
6WJ4,gcc,12,-O0,2083,2083,2083.0,1.829470157623291
6WJ4,gcc,12,-O1,1405,1405,1405.0,1.7317719459533691
6WJ4,gcc,12,-O2,1420,1420,1420.0,1.9156501293182373
6WJ4,gcc,12,-O3,1420,1420,1420.0,1.7524516582489014
6WJ4,gcc,12,-Os,1397,1397,1397.0,2.057645082473755
6WJ4,gcc,12,-Ofast,1508,1508,1508.0,2.130882740020752
8CZG,gcc,9,-O0,1468,1468,1468.0,1.8605737686157229
8CZG,gcc,9,-O1,1441,1441,1441.0,2.0396149158477783
8CZG,gcc,9,-O2,1433,1433,1433.0,2.250528573989868
8CZG,gcc,9,-O3,1433,1433,1433.0,2.068803071975708
8CZG,gcc,9,-Os,1426,1426,1426.0,1.8816819190979004
8CZG,gcc,9,-Ofast,1517,1517,1517.0,1.7564704418182373
8CZG,gcc,10,-O0,1468,1468,1468.0,1.7809748649597168
8CZG,gcc,10,-O1,1441,1441,1441.0,2.179809331893921
8CZG,gcc,10,-O2,1433,1433,1433.0,2.137169122695923
8CZG,gcc,10,-O3,1433,1433,1433.0,1.9557228088378904
8CZG,gcc,10,-Os,1426,1426,1426.0,1.844830751419068
8CZG,gcc,10,-Ofast,1517,1517,1517.0,2.0580124855041504
8CZG,gcc,11,-O0,1471,1471,1471.0,2.1776959896087646
8CZG,gcc,11,-O1,1441,1441,1441.0,2.043334007263184
8CZG,gcc,11,-O2,1433,1433,1433.0,2.118526220321656
8CZG,gcc,11,-O3,1433,1433,1433.0,2.38161849975586
8CZG,gcc,11,-Os,1426,1426,1426.0,2.032663345336914
8CZG,gcc,11,-Ofast,1517,1517,1517.0,2.3927106857299805
8CZG,gcc,12,-O0,1471,1471,1471.0,2.2787094116210938
8CZG,gcc,12,-O1,1441,1441,1441.0,2.6225268840789795
8CZG,gcc,12,-O2,1433,1433,1433.0,2.14793062210083
8CZG,gcc,12,-O3,1433,1433,1433.0,2.1235365867614746
8CZG,gcc,12,-Os,1426,1426,1426.0,2.4084205627441406
8CZG,gcc,12,-Ofast,1517,1517,1517.0,2.84020471572876
8ECK,gcc,9,-O0,1465,1465,1465.0,2.1374728679656982
8ECK,gcc,9,-O1,1449,1449,1449.0,2.224284648895264
8ECK,gcc,9,-O2,1444,1444,1444.0,2.3820247650146484
8ECK,gcc,9,-O3,1444,1444,1444.0,2.2269809246063232
8ECK,gcc,9,-Os,1437,1437,1437.0,2.3533310890197754
8ECK,gcc,9,-Ofast,1528,1528,1528.0,1.8884975910186768
8ECK,gcc,10,-O0,1465,1465,1465.0,2.1091103553771973
8ECK,gcc,10,-O1,1449,1449,1449.0,1.873276710510254
8ECK,gcc,10,-O2,1444,1444,1444.0,1.8762946128845213
8ECK,gcc,10,-O3,1444,1444,1444.0,1.946964979171753
8ECK,gcc,10,-Os,1437,1437,1437.0,1.9490509033203125
8ECK,gcc,10,-Ofast,1528,1528,1528.0,2.2299745082855225
8ECK,gcc,11,-O0,1468,1468,1468.0,1.8915026187896729
8ECK,gcc,11,-O1,1449,1449,1449.0,2.317963123321533
8ECK,gcc,11,-O2,1444,1444,1444.0,2.265281438827514
8ECK,gcc,11,-O3,1444,1444,1444.0,2.016775131225586
8ECK,gcc,11,-Os,1437,1437,1437.0,2.18821668624878
8ECK,gcc,11,-Ofast,1528,1528,1528.0,2.0195729732513428
8ECK,gcc,12,-O0,1468,1468,1468.0,2.015308618545532
8ECK,gcc,12,-O1,1449,1449,1449.0,2.376699447631836
8ECK,gcc,12,-O2,1444,1444,1444.0,2.427711009979248
8ECK,gcc,12,-O3,1444,1444,1444.0,2.5346601009368896
8ECK,gcc,12,-Os,1437,1437,1437.0,2.322253465652466
8ECK,gcc,12,-Ofast,1528,1528,1528.0,2.6189992427825928
