Regression Analysis Report
Generated on: 2025-04-25 07:11:03
============================================================

Found 334 regression(s):

174. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN9.c | gcc-10 | Seconds until this regression: 5851.850531101227
175. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN9.c | gcc-11 | Seconds until this regression: 5851.850531101227
176. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN9.c | gcc-12 | Seconds until this regression: 5851.850531101227
177. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN10.c | gcc-9 | Seconds until this regression: 5873.761062860489
178. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN10.c | gcc-10 | Seconds until this regression: 5873.761062860489
179. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN10.c | gcc-11 | Seconds until this regression: 5873.761062860489
180. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN10.c | gcc-12 | Seconds until this regression: 5873.761062860489
181. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN11.c | gcc-9 | Seconds until this regression: 5931.495728731155
182. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN11.c | gcc-10 | Seconds until this regression: 5931.495728731155
183. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN11.c | gcc-11 | Seconds until this regression: 5931.495728731155
184. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN11.c | gcc-12 | Seconds until this regression: 5931.495728731155
185. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN12.c | gcc-9 | Seconds until this regression: 5968.5612161159515
186. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN12.c | gcc-10 | Seconds until this regression: 5968.5612161159515
187. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN12.c | gcc-11 | Seconds until this regression: 5968.5612161159515
188. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN12.c | gcc-12 | Seconds until this regression: 5968.5612161159515
189. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN13.c | gcc-9 | Seconds until this regression: 6001.75287437439
190. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN13.c | gcc-10 | Seconds until this regression: 6001.75287437439
191. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN13.c | gcc-11 | Seconds until this regression: 6001.75287437439
192. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN13.c | gcc-12 | Seconds until this regression: 6001.75287437439
193. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN14.c | gcc-9 | Seconds until this regression: 6014.399998426437
194. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN14.c | gcc-10 | Seconds until this regression: 6014.399998426437
195. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN14.c | gcc-11 | Seconds until this regression: 6014.399998426437
196. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN14.c | gcc-12 | Seconds until this regression: 6014.399998426437
197. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN16.c | gcc-9 | Seconds until this regression: 6092.62234044075
198. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN16.c | gcc-10 | Seconds until this regression: 6092.62234044075
199. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN16.c | gcc-11 | Seconds until this regression: 6092.62234044075
200. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN16.c | gcc-12 | Seconds until this regression: 6092.62234044075
201. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN17.c | gcc-9 | Seconds until this regression: 6114.31972193718
202. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN17.c | gcc-10 | Seconds until this regression: 6114.31972193718
203. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN17.c | gcc-11 | Seconds until this regression: 6114.31972193718
204. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN17.c | gcc-12 | Seconds until this regression: 6114.31972193718
205. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA2.c | gcc-9 | Seconds until this regression: 6230.0182547569275
206. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA2.c | gcc-10 | Seconds until this regression: 6230.0182547569275
207. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA2.c | gcc-11 | Seconds until this regression: 6230.0182547569275
