file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
7386,gcc,14,-O2,1519,1519,1519.0,0.0522341728210449
7386,gcc,14,-O3,1803,1803,1803.0,0.0634012222290039
7386,gcc,14,-Os,1482,1482,1482.0,0.1013646125793457
7386,gcc,14,-Ofast,1899,1899,1899.0,0.1243238449096679
7592,gcc,14,-O0,1482,1482,1482.0,0.0842256546020507
7592,gcc,14,-O1,1477,1477,1477.0,0.0931754112243652
7592,gcc,14,-O2,1433,1433,1433.0,0.0941710472106933
7592,gcc,14,-O3,1433,1433,1433.0,0.0992796421051025
7592,gcc,14,-Os,1426,1426,1426.0,0.0881857872009277
7592,gcc,14,-Ofast,1529,1529,1529.0,0.0929954051971435
77PF,gcc,14,-O0,1451,1451,1451.0,0.0836117267608642
77PF,gcc,14,-O1,1444,1444,1444.0,0.0900642871856689
77PF,gcc,14,-O2,1438,1438,1438.0,0.0923852920532226
77PF,gcc,14,-O3,1438,1438,1438.0,0.0929234027862548
77PF,gcc,14,-Os,1431,1431,1431.0,0.0943868160247802
77PF,gcc,14,-Ofast,1534,1534,1534.0,0.0937092304229736
7BGK,gcc,14,-O0,1438,1438,1438.0,0.0842766761779785
7BGK,gcc,14,-O1,1441,1441,1441.0,0.0915694236755371
7BGK,gcc,14,-O2,1433,1433,1433.0,0.0918550491333007
7BGK,gcc,14,-O3,1433,1433,1433.0,0.097581148147583
7BGK,gcc,14,-Os,1426,1426,1426.0,0.0468370914459228
7BGK,gcc,14,-Ofast,1529,1529,1529.0,0.0491614341735839
7IG7,gcc,14,-O0,1438,1438,1438.0,0.0450668334960937
7IG7,gcc,14,-O1,1441,1441,1441.0,0.0504796504974365
7IG7,gcc,14,-O2,1433,1433,1433.0,0.0477271080017089
7IG7,gcc,14,-O3,1433,1433,1433.0,0.0521533489227294
7IG7,gcc,14,-Os,1426,1426,1426.0,0.0473301410675048
7IG7,gcc,14,-Ofast,1529,1529,1529.0,0.0481312274932861
7KME,gcc,14,-O0,1451,1451,1451.0,0.0410888195037841
7KME,gcc,14,-O1,1444,1444,1444.0,0.0467510223388671
7KME,gcc,14,-O2,1438,1438,1438.0,0.0467402935028076
7KME,gcc,14,-O3,1438,1438,1438.0,0.0542545318603515
7KME,gcc,14,-Os,1431,1431,1431.0,0.073024034500122
7KME,gcc,14,-Ofast,1534,1534,1534.0,0.0683798789978027
84WY,gcc,14,-O0,1451,1451,1451.0,0.0508317947387695
84WY,gcc,14,-O1,1444,1444,1444.0,0.0563845634460449
84WY,gcc,14,-O2,1438,1438,1438.0,0.0576467514038085
84WY,gcc,14,-O3,1438,1438,1438.0,0.0520353317260742
84WY,gcc,14,-Os,1431,1431,1431.0,0.050138235092163
84WY,gcc,14,-Ofast,1534,1534,1534.0,0.051255464553833
87CU,gcc,14,-O0,1451,1451,1451.0,0.0478515625
87CU,gcc,14,-O1,1444,1444,1444.0,0.0479681491851806
87CU,gcc,14,-O2,1438,1438,1438.0,0.0516104698181152
87CU,gcc,14,-O3,1438,1438,1438.0,0.0491135120391845
87CU,gcc,14,-Os,1431,1431,1431.0,0.0499515533447265
87CU,gcc,14,-Ofast,1534,1534,1534.0,0.0483951568603515
88IV,gcc,14,-O0,1449,1449,1449.0,0.0420172214508056
88IV,gcc,14,-O1,1446,1446,1446.0,0.0511846542358398
88IV,gcc,14,-O2,1438,1438,1438.0,0.0477285385131835
88IV,gcc,14,-O3,1438,1438,1438.0,0.0484476089477539
88IV,gcc,14,-Os,1431,1431,1431.0,0.0451753139495849
88IV,gcc,14,-Ofast,1534,1534,1534.0,0.0468926429748535
8KRT,gcc,14,-O0,1529,1529,1529.0,0.0466809272766113
8KRT,gcc,14,-O1,1548,1548,1548.0,0.0519530773162841
8KRT,gcc,14,-O2,1433,1433,1433.0,0.0474741458892822
8KRT,gcc,14,-O3,1433,1433,1433.0,0.0500476360321044
8KRT,gcc,14,-Os,1426,1426,1426.0,0.046929121017456
8KRT,gcc,14,-Ofast,1529,1529,1529.0,0.0489060878753662
8XAK,gcc,14,-O0,1467,1467,1467.0,0.0420420169830322
8XAK,gcc,14,-O1,1456,1456,1456.0,0.0526521205902099
8XAK,gcc,14,-O2,1451,1451,1451.0,0.0463054180145263
8XAK,gcc,14,-O3,1451,1451,1451.0,0.0507562160491943
8XAK,gcc,14,-Os,1443,1443,1443.0,0.0508289337158203
8XAK,gcc,14,-Ofast,1547,1547,1547.0,0.0496089458465576
9A4A,gcc,14,-O0,1449,1449,1449.0,0.0460176467895507
9A4A,gcc,14,-O1,1446,1446,1446.0,0.0490555763244628
9A4A,gcc,14,-O2,1438,1438,1438.0,0.0480413436889648
9A4A,gcc,14,-O3,1438,1438,1438.0,0.0487656593322753
9A4A,gcc,14,-Os,1431,1431,1431.0,0.0479981899261474
9A4A,gcc,14,-Ofast,1534,1534,1534.0,0.048363447189331
9FJ2,gcc,14,-O0,1513,1513,1513.0,0.045344591140747
9FJ2,gcc,14,-O1,1568,1568,1568.0,0.0506298542022705
9FJ2,gcc,14,-O2,1551,1551,1551.0,0.0546388626098632
9FJ2,gcc,14,-O3,1803,1803,1803.0,0.0646395683288574
9FJ2,gcc,14,-Os,1485,1485,1485.0,0.0521655082702636
9FJ2,gcc,14,-Ofast,1899,1899,1899.0,0.0629191398620605
9L86,gcc,14,-O0,1673,1673,1673.0,0.0444598197937011
9L86,gcc,14,-O1,1448,1448,1448.0,0.0473887920379638
9L86,gcc,14,-O2,1436,1436,1436.0,0.0490825176239013
9L86,gcc,14,-O3,1436,1436,1436.0,0.048954963684082
9L86,gcc,14,-Os,1429,1429,1429.0,0.0480787754058837
9L86,gcc,14,-Ofast,1532,1532,1532.0,0.0489869117736816
9MP8,gcc,14,-O0,1514,1514,1514.0,0.0460743904113769
9MP8,gcc,14,-O1,1564,1564,1564.0,0.0481858253479003
9MP8,gcc,14,-O2,1554,1554,1554.0,0.0528364181518554
9MP8,gcc,14,-O3,1554,1554,1554.0,0.0516297817230224
9MP8,gcc,14,-Os,1528,1528,1528.0,0.0496866703033447
9MP8,gcc,14,-Ofast,1650,1650,1650.0,0.0538568496704101
A7RO,gcc,14,-O0,1438,1438,1438.0,0.042102575302124
A7RO,gcc,14,-O1,1441,1441,1441.0,0.0516684055328369
A7RO,gcc,14,-O2,1433,1433,1433.0,0.0876824855804443
A7RO,gcc,14,-O3,1433,1433,1433.0,0.0890336036682128
A7RO,gcc,14,-Os,1426,1426,1426.0,0.0907328128814697
A7RO,gcc,14,-Ofast,1529,1529,1529.0,0.0907492637634277
A90B,gcc,14,-O0,1595,1595,1595.0,0.0832841396331787
A90B,gcc,14,-O1,1565,1565,1565.0,0.1005411148071289
A90B,gcc,14,-O2,1433,1433,1433.0,0.092444896697998
A90B,gcc,14,-O3,1433,1433,1433.0,0.0926525592803955
A90B,gcc,14,-Os,1426,1426,1426.0,0.0900983810424804
A90B,gcc,14,-Ofast,1529,1529,1529.0,0.0922491550445556
ANZD,gcc,14,-O0,1595,1595,1595.0,0.082038402557373
ANZD,gcc,14,-O1,1565,1565,1565.0,0.1046702861785888
ANZD,gcc,14,-O2,1433,1433,1433.0,0.0928602218627929
ANZD,gcc,14,-O3,1433,1433,1433.0,0.0921878814697265
ANZD,gcc,14,-Os,1426,1426,1426.0,0.0887320041656494
ANZD,gcc,14,-Ofast,1529,1529,1529.0,0.0911283493041992
B3OA,gcc,14,-O0,1451,1451,1451.0,0.0824439525604248
B3OA,gcc,14,-O1,1444,1444,1444.0,0.0877749919891357
B3OA,gcc,14,-O2,1438,1438,1438.0,0.0906805992126464
B3OA,gcc,14,-O3,1438,1438,1438.0,0.0885615348815918
B3OA,gcc,14,-Os,1431,1431,1431.0,0.0897715091705322
B3OA,gcc,14,-Ofast,1534,1534,1534.0,0.0897917747497558
BDRV,gcc,14,-O0,1723,1723,1723.0,0.0860366821289062
BDRV,gcc,14,-O1,1684,1684,1684.0,0.1074147224426269
BDRV,gcc,14,-O2,1433,1433,1433.0,0.0911593437194824
BDRV,gcc,14,-O3,1433,1433,1433.0,0.0927152633666992
BDRV,gcc,14,-Os,1426,1426,1426.0,0.0920608043670654
BDRV,gcc,14,-Ofast,1529,1529,1529.0,0.0918817520141601
C9BH,gcc,14,-O0,1469,1469,1469.0,0.0828640460968017
C9BH,gcc,14,-O1,1280,1280,1280.0,0.0921804904937744
C9BH,gcc,14,-O2,1433,1433,1433.0,0.0925428867340087
C9BH,gcc,14,-O3,1433,1433,1433.0,0.0909698009490966
C9BH,gcc,14,-Os,1426,1426,1426.0,0.0893592834472656
C9BH,gcc,14,-Ofast,1529,1529,1529.0,0.0925285816192627
CAGO,gcc,14,-O0,1467,1467,1467.0,0.0833122730255127
CAGO,gcc,14,-O1,1456,1456,1456.0,0.0890810489654541
CAGO,gcc,14,-O2,1451,1451,1451.0,0.0922317504882812
CAGO,gcc,14,-O3,1451,1451,1451.0,0.0930681228637695
CAGO,gcc,14,-Os,1443,1443,1443.0,0.0933315753936767
CAGO,gcc,14,-Ofast,1547,1547,1547.0,0.0923163890838623
CHI2,gcc,14,-O0,1438,1438,1438.0,0.0821788311004638
CHI2,gcc,14,-O1,1441,1441,1441.0,0.0872943401336669
CHI2,gcc,14,-O2,1433,1433,1433.0,0.0904653072357177
CHI2,gcc,14,-O3,1433,1433,1433.0,0.0887930393218994
CHI2,gcc,14,-Os,1426,1426,1426.0,0.0869097709655761
CHI2,gcc,14,-Ofast,1529,1529,1529.0,0.0877079963684082
CJ8E,gcc,14,-O0,1514,1514,1514.0,0.0812931060791015
CJ8E,gcc,14,-O1,1564,1564,1564.0,0.0943677425384521
CJ8E,gcc,14,-O2,1554,1554,1554.0,0.1006345748901367
CJ8E,gcc,14,-O3,1554,1554,1554.0,0.0985660552978515
CJ8E,gcc,14,-Os,1528,1528,1528.0,0.096949815750122
CJ8E,gcc,14,-Ofast,1650,1650,1650.0,0.1009089946746826
CPY3,gcc,14,-O0,1652,1652,1652.0,0.0855200290679931
CPY3,gcc,14,-O1,1576,1576,1576.0,0.0943176746368408
CPY3,gcc,14,-O2,1591,1591,1591.0,0.1006772518157959
CPY3,gcc,14,-O3,1591,1591,1591.0,0.101170539855957
CPY3,gcc,14,-Os,1503,1503,1503.0,0.0984323024749755
CPY3,gcc,14,-Ofast,1687,1687,1687.0,0.1018054485321044
CTKF,gcc,14,-O0,1438,1438,1438.0,0.0443911552429199
CTKF,gcc,14,-O1,1441,1441,1441.0,0.0452568531036376
CTKF,gcc,14,-O2,1433,1433,1433.0,0.047637939453125
CTKF,gcc,14,-O3,1433,1433,1433.0,0.0486624240875244
CTKF,gcc,14,-Os,1426,1426,1426.0,0.0456159114837646
CTKF,gcc,14,-Ofast,1529,1529,1529.0,0.0495800971984863
CXT6,gcc,14,-O0,1438,1438,1438.0,0.0431344509124755
CXT6,gcc,14,-O1,1441,1441,1441.0,0.046332836151123
CXT6,gcc,14,-O2,1433,1433,1433.0,0.0463643074035644
CXT6,gcc,14,-O3,1433,1433,1433.0,0.0483174324035644
CXT6,gcc,14,-Os,1426,1426,1426.0,0.0457007884979248
CXT6,gcc,14,-Ofast,1529,1529,1529.0,0.0462853908538818
DFG2,gcc,14,-O0,1508,1508,1508.0,0.0435423851013183
DFG2,gcc,14,-O1,1568,1568,1568.0,0.0489981174468994
DFG2,gcc,14,-O2,1519,1519,1519.0,0.0555787086486816
DFG2,gcc,14,-O3,1803,1803,1803.0,0.0604715347290039
DFG2,gcc,14,-Os,1482,1482,1482.0,0.0537447929382324
DFG2,gcc,14,-Ofast,1899,1899,1899.0,0.0586037635803222
E3P6,gcc,14,-O0,1513,1513,1513.0,0.0423741340637207
E3P6,gcc,14,-O1,1568,1568,1568.0,0.0496885776519775
E3P6,gcc,14,-O2,1551,1551,1551.0,0.0532970428466796
E3P6,gcc,14,-O3,1803,1803,1803.0,0.0584268569946289
E3P6,gcc,14,-Os,1485,1485,1485.0,0.0521740913391113
E3P6,gcc,14,-Ofast,1899,1899,1899.0,0.0603268146514892
E4VU,gcc,14,-O0,1457,1457,1457.0,0.0430424213409423
E4VU,gcc,14,-O1,1448,1448,1448.0,0.0494256019592285
E4VU,gcc,14,-O2,1442,1442,1442.0,0.0464429855346679
E4VU,gcc,14,-O3,1442,1442,1442.0,0.0463666915893554
E4VU,gcc,14,-Os,1434,1434,1434.0,0.04756760597229
E4VU,gcc,14,-Ofast,1538,1538,1538.0,0.0488085746765136
EN62,gcc,14,-O0,1514,1514,1514.0,0.0429680347442626
EN62,gcc,14,-O1,1564,1564,1564.0,0.0492079257965087
EN62,gcc,14,-O2,1554,1554,1554.0,0.0520930290222168
EN62,gcc,14,-O3,1594,1594,1594.0,0.0576756000518798
EN62,gcc,14,-Os,1528,1528,1528.0,0.0968923568725586
EN62,gcc,14,-Ofast,1694,1694,1694.0,0.1019511222839355
EOID,gcc,14,-O0,1480,1480,1480.0,0.0828688144683837
EOID,gcc,14,-O1,1502,1502,1502.0,0.0941667556762695
EOID,gcc,14,-O2,1471,1471,1471.0,0.0982882976531982
EOID,gcc,14,-O3,1751,1751,1751.0,0.1119780540466308
EOID,gcc,14,-Os,1464,1464,1464.0,0.0957326889038086
EOID,gcc,14,-Ofast,1815,1815,1815.0,0.110546588897705
EQA5,gcc,14,-O0,1466,1466,1466.0,0.0817208290100097
EQA5,gcc,14,-O1,1456,1456,1456.0,0.0906801223754882
EQA5,gcc,14,-O2,1451,1451,1451.0,0.0940909385681152
EQA5,gcc,14,-O3,1451,1451,1451.0,0.0931754112243652
EQA5,gcc,14,-Os,1443,1443,1443.0,0.0932750701904296
EQA5,gcc,14,-Ofast,1547,1547,1547.0,0.0942177772521972
EQRP,gcc,14,-O0,1723,1723,1723.0,0.0852580070495605
EQRP,gcc,14,-O1,1684,1684,1684.0,0.1075866222381591
EQRP,gcc,14,-O2,1433,1433,1433.0,0.0895941257476806
EQRP,gcc,14,-O3,1433,1433,1433.0,0.0945634841918945
EQRP,gcc,14,-Os,1426,1426,1426.0,0.0925557613372802
EQRP,gcc,14,-Ofast,1529,1529,1529.0,0.092289924621582
EUK0,gcc,14,-O0,1565,1565,1565.0,0.0852835178375244
EUK0,gcc,14,-O1,1637,1637,1637.0,0.0957777500152587
EUK0,gcc,14,-O2,1673,1673,1673.0,0.1019549369812011
EUK0,gcc,14,-O3,1673,1673,1673.0,0.102144718170166
EUK0,gcc,14,-Os,1582,1582,1582.0,0.099778413772583
EUK0,gcc,14,-Ofast,1769,1769,1769.0,0.1037807464599609
