model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,7.636390209197998,ZWHD4,3,92,ZWHD3,ZWHD
meta-llama/Meta-Llama-3.1-8B-Instruct,16.238783836364746,VXYE1,13,59,,VXYE
meta-llama/Meta-Llama-3.1-8B-Instruct,7.544714212417602,VXYE2,7,115,VXYE1,VXYE
meta-llama/Meta-Llama-3.1-8B-Instruct,16.285491704940796,CZTL1,3,13,,CZTL
meta-llama/Meta-Llama-3.1-8B-Instruct,16.585549116134644,CZTL2,12,37,CZTL1,CZTL
meta-llama/Meta-Llama-3.1-8B-Instruct,9.90202260017395,CZTL3,7,83,CZTL2,CZTL
meta-llama/Meta-Llama-3.1-8B-Instruct,16.440124034881592,BWTX1,4,38,,BWTX
meta-llama/Meta-Llama-3.1-8B-Instruct,2.089989185333252,BWTX2,1,44,BWTX1,BWTX
meta-llama/Meta-Llama-3.1-8B-Instruct,1.8736672401428225,BWTX3,1,40,BWTX2,BWTX
meta-llama/Meta-Llama-3.1-8B-Instruct,16.720426559448242,XWRY1,6,82,,XWRY
meta-llama/Meta-Llama-3.1-8B-Instruct,16.42566156387329,VDYJ1,10,34,,VDYJ
meta-llama/Meta-Llama-3.1-8B-Instruct,14.839491367340088,VDYJ2,2,74,VDYJ1,VDYJ
meta-llama/Meta-Llama-3.1-8B-Instruct,5.046424865722656,VDYJ3,14,115,VDYJ2,VDYJ
meta-llama/Meta-Llama-3.1-8B-Instruct,16.864364624023438,KDVG1,1,79,,KDVG
meta-llama/Meta-Llama-3.1-8B-Instruct,11.75644874572754,KDVG2,11,51,KDVG1,KDVG
meta-llama/Meta-Llama-3.1-8B-Instruct,16.846242904663086,SKAJ1,10,37,,SKAJ
meta-llama/Meta-Llama-3.1-8B-Instruct,14.75414228439331,SKAJ2,4,84,SKAJ1,SKAJ
meta-llama/Meta-Llama-3.1-8B-Instruct,11.325567722320557,SKAJ3,12,136,SKAJ2,SKAJ
meta-llama/Meta-Llama-3.1-8B-Instruct,16.5246684551239,VYBI1,4,40,,VYBI
meta-llama/Meta-Llama-3.1-8B-Instruct,16.65201163291931,NFBQ1,7,106,,NFBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,9.130655765533447,NFBQ2,2,124,NFBQ1,NFBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,37.74722075462341,HOSS1,9,75,,HOSS
meta-llama/Meta-Llama-3.1-8B-Instruct,38.14287424087525,AXCC1,10,40,,AXCC
meta-llama/Meta-Llama-3.1-8B-Instruct,35.616461753845215,AXCC2,3,67,AXCC1,AXCC
meta-llama/Meta-Llama-3.1-8B-Instruct,33.18421745300293,AXCC3,5,111,AXCC2,AXCC
meta-llama/Meta-Llama-3.1-8B-Instruct,37.97851061820984,QING1,10,64,,QING
meta-llama/Meta-Llama-3.1-8B-Instruct,33.93906021118164,QING2,1,75,QING1,QING
meta-llama/Meta-Llama-3.1-8B-Instruct,3.565185785293579,QING3,14,79,QING2,QING
meta-llama/Meta-Llama-3.1-8B-Instruct,38.083290100097656,VLRX1,10,91,,VLRX
meta-llama/Meta-Llama-3.1-8B-Instruct,4.035288333892822,VLRX2,14,91,VLRX1,VLRX
meta-llama/Meta-Llama-3.1-8B-Instruct,37.28045010566712,LZIL1,2,38,,LZIL
meta-llama/Meta-Llama-3.1-8B-Instruct,35.810986042022705,LZIL2,5,179,LZIL1,LZIL
meta-llama/Meta-Llama-3.1-8B-Instruct,21.398425579071045,LZIL3,8,251,LZIL2,LZIL
meta-llama/Meta-Llama-3.1-8B-Instruct,37.96210169792175,WYWQ1,2,54,,WYWQ
meta-llama/Meta-Llama-3.1-8B-Instruct,3.5231423377990723,WYWQ2,1,77,WYWQ1,WYWQ
meta-llama/Meta-Llama-3.1-8B-Instruct,4.649639844894409,WYWQ3,4,98,WYWQ2,WYWQ
meta-llama/Meta-Llama-3.1-8B-Instruct,37.48782682418823,RRJR1,2,55,,RRJR
meta-llama/Meta-Llama-3.1-8B-Instruct,34.34774589538574,RRJR2,8,79,RRJR1,RRJR
meta-llama/Meta-Llama-3.1-8B-Instruct,16.801888465881348,RRJR3,10,93,RRJR2,RRJR
meta-llama/Meta-Llama-3.1-8B-Instruct,36.80358290672302,TLTZ1,1,31,,TLTZ
meta-llama/Meta-Llama-3.1-8B-Instruct,8.63297176361084,TLTZ2,7,165,TLTZ1,TLTZ
meta-llama/Meta-Llama-3.1-8B-Instruct,24.815433502197266,TLTZ3,10,118,TLTZ2,TLTZ
meta-llama/Meta-Llama-3.1-8B-Instruct,11.40075707435608,TLTZ4,11,117,TLTZ3,TLTZ
meta-llama/Meta-Llama-3.1-8B-Instruct,36.87218451499939,GYXY1,9,57,,GYXY
meta-llama/Meta-Llama-3.1-8B-Instruct,20.10994839668274,GYXY2,11,57,GYXY1,GYXY
meta-llama/Meta-Llama-3.1-8B-Instruct,7.976497650146484,HCJO1,13,44,,HCJO
meta-llama/Meta-Llama-3.1-8B-Instruct,34.336973667144775,HCJO2,1,67,HCJO1,HCJO
meta-llama/Meta-Llama-3.1-8B-Instruct,32.207173109054565,HCJO3,4,131,HCJO2,HCJO
meta-llama/Meta-Llama-3.1-8B-Instruct,27.28096318244934,HCJO4,10,249,HCJO3,HCJO
meta-llama/Meta-Llama-3.1-8B-Instruct,36.90419006347656,RTMO1,11,48,,RTMO
meta-llama/Meta-Llama-3.1-8B-Instruct,3.109907865524292,RTMO2,4,67,RTMO1,RTMO
meta-llama/Meta-Llama-3.1-8B-Instruct,36.42897343635559,MPMR1,3,35,,MPMR
meta-llama/Meta-Llama-3.1-8B-Instruct,9.07740831375122,MPMR2,9,56,MPMR1,MPMR
meta-llama/Meta-Llama-3.1-8B-Instruct,21.2293758392334,MPMR3,12,87,MPMR2,MPMR
meta-llama/Meta-Llama-3.1-8B-Instruct,8.01194143295288,OGNQ1,10,37,,OGNQ
meta-llama/Meta-Llama-3.1-8B-Instruct,34.49450659751892,OGNQ2,6,49,OGNQ1,OGNQ
meta-llama/Meta-Llama-3.1-8B-Instruct,4.626814842224121,OGNQ3,12,110,OGNQ2,OGNQ
meta-llama/Meta-Llama-3.1-8B-Instruct,15.120439291000366,OGNQ4,6,134,OGNQ3,OGNQ
meta-llama/Meta-Llama-3.1-8B-Instruct,36.63581728935242,URQX1,9,137,,URQX
meta-llama/Meta-Llama-3.1-8B-Instruct,6.088756799697876,URQX2,3,147,URQX1,URQX
meta-llama/Meta-Llama-3.1-8B-Instruct,25.94591999053955,URQX3,14,171,URQX2,URQX
meta-llama/Meta-Llama-3.1-8B-Instruct,12.678591966629028,URQX4,7,159,URQX3,URQX
meta-llama/Meta-Llama-3.1-8B-Instruct,14.256931066513062,JBTR1,5,59,,JBTR
meta-llama/Meta-Llama-3.1-8B-Instruct,4.902578353881836,JBTR2,9,110,JBTR1,JBTR
meta-llama/Meta-Llama-3.1-8B-Instruct,16.369328022003174,JBTR3,12,117,JBTR2,JBTR
meta-llama/Meta-Llama-3.1-8B-Instruct,36.23353934288025,VFJJ1,8,176,,VFJJ
